p_in,Re,Geometry
1.752595,1569.84,forwardStepRe
1.76129,1519.23,forwardStepRe
0.265548,1848.18,backwardStepRe
1.193769,1772.27,bendRe
3.196517,228.73,narrowEndBendRe
2.526233,1544.53,narrowEndBendRe
0.7857922,810.72,bendRe
5.971739,1595.14,leftStripBendRe
7.149453,1544.53,leftStripBendRe
1.191434,102.22,bendRe
2.326527,456.47,forwardStepRe
12.24026,1063.76,channelStripRe
1.674269,1848.18,forwardStepRe
1.689523,1772.27,forwardStepRe
12.12226,810.72,channelStripRe
12.45649,1240.89,channelStripRe
6.520751,937.24,rightStripBendRe
8.071333,810.72,leftStripBendRe
5.885994,1190.28,rightStripBendRe
6.350186,1215.58,rightStripBendRe
327.1287,1.00,channelStripRe
12.00971,633.59,channelStripRe
11.58898,1342.10,leftStripBendRe
0.8304643,456.47,backwardStepRe
0.3441664,1089.06,channelRe
15.36509,26.30,channelStripRe
1.19851,709.51,bendRe
6.79833,1746.96,leftStripBendRe
0.2656663,1873.48,backwardStepRe
0.3584007,1266.19,backwardStepRe
1.914584,178.13,backwardStepRe
5.183358,51.61,narrowEndBendRe
2.48195,1595.14,narrowEndBendRe
1.077611,684.20,bendRe
0.6922093,1139.67,bendRe
13.13152,405.86,leftStripBendRe
0.2888266,1493.92,channelRe
4.399936,76.91,narrowEndBendRe
0.3200402,1240.89,channelRe
0.3314723,1164.97,channelRe
0.730614,304.65,channelRe
1.712616e+16,1924.09,bendRe
2.433109,1443.32,narrowEndBendRe
2.515282,1013.15,narrowEndBendRe
5.072573,1620.44,rightStripBendRe
0.2836001,1544.53,channelRe
3.283754,203.43,narrowEndBendRe
1.90987,962.54,forwardStepRe
6.773646,1139.67,leftStripBendRe
3.391837,178.13,narrowEndBendRe
2.56001,1620.44,narrowEndBendRe
0.3001949,1392.71,channelRe
7.246709,760.11,rightStripBendRe
0.3487352,1063.76,channelRe
0.2480184,1974.70,channelRe
4.703839,304.65,rightStripBendRe
0.3996291,836.03,channelRe
1.870611,1063.76,forwardStepRe
0.2463076,2000.00,channelRe
12.27048,1164.97,channelStripRe
5.712749,1013.15,rightStripBendRe
12.15022,861.33,channelStripRe
7.554762,1089.06,rightStripBendRe
6.430257,1949.39,leftStripBendRe
0.392897,861.33,channelRe
8.723508,962.54,leftStripBendRe
9.439491,608.29,leftStripBendRe
3.737969,658.90,rightStripBendRe
1.736843,51.61,bendRe
1.687863,1822.87,forwardStepRe
0.8439465,785.42,bendRe
0.9359986,1493.92,bendRe
2.530023,962.54,narrowEndBendRe
2.41628,405.86,forwardStepRe
0.3528481,1291.49,backwardStepRe
4.099067,1671.05,rightStripBendRe
16.30417,1898.78,channelStripRe
0.3397724,1114.37,channelRe
0.3689164,962.54,channelRe
2.522382,1316.80,narrowEndBendRe
5.349267,734.81,leftStripBendRe
0.4277251,1013.15,backwardStepRe
1.742793,1595.14,forwardStepRe
2.493905,1721.66,narrowEndBendRe
0.3275337,1190.28,channelRe
7.382219,1822.87,rightStripBendRe
11.3055,178.13,channelStripRe
0.7277305,532.38,backwardStepRe
4.980665,254.04,rightStripBendRe
0.7944057,1164.97,bendRe
1.879752,1038.46,forwardStepRe
2.889574,380.56,narrowEndBendRe
2.612831,1569.84,narrowEndBendRe
4.987409,1974.70,rightStripBendRe
36.39015,1746.96,channelStripRe
4.432656,102.22,forwardStepRe
1.190818,1418.01,bendRe
2.495271,1089.06,narrowEndBendRe
0.3803544,911.94,channelRe
2.537841,937.24,narrowEndBendRe
0.297239,1418.01,channelRe
1.182051,304.65,backwardStepRe
12.2308,1038.46,channelStripRe
11.83971,456.47,channelStripRe
0.5703101,1620.44,bendRe
2.582537,810.72,narrowEndBendRe
9.588674,254.04,leftStripBendRe
1.301004,658.90,bendRe
1.944701,886.63,forwardStepRe
2.471019,1190.28,narrowEndBendRe
6.247313e+23,1645.75,bendRe
8.438315,1114.37,leftStripBendRe
9.43312,1190.28,leftStripBendRe
0.2651471,1746.96,channelRe
7.612014,481.77,leftStripBendRe
2.00074,785.42,forwardStepRe
12.8882,1342.10,channelStripRe
4.407206,431.16,rightStripBendRe
11.61575,304.65,channelStripRe
12.5769,987.85,leftStripBendRe
0.3701433,1215.58,backwardStepRe
2.735793,532.38,narrowEndBendRe
2.016735,760.11,forwardStepRe
6.52112,1772.27,leftStripBendRe
9.223705,102.22,leftStripBendRe
1.368795,76.91,bendRe
9.379066,127.52,leftStripBendRe
2.468853,380.56,forwardStepRe
2.857528,405.86,narrowEndBendRe
1.482676,1974.70,bendRe
2.98784,228.73,forwardStepRe
1.765895,1443.32,forwardStepRe
11.89679,507.08,channelStripRe
0.3063918,1342.10,channelRe
11.14139,1013.15,leftStripBendRe
12.04586,684.20,channelStripRe
264.3315,1.00,forwardStepRe
6.692772,507.08,rightStripBendRe
12.77337,1266.19,channelStripRe
0.291553,1468.62,channelRe
3.966258,1443.32,rightStripBendRe
4.292899,1367.41,rightStripBendRe
4.542288,1924.09,rightStripBendRe
4.549611,1418.01,rightStripBendRe
8.907782,76.91,leftStripBendRe
4.942745,456.47,rightStripBendRe
0.3373031,1367.41,backwardStepRe
7.762502,1367.41,leftStripBendRe
0.2811901,1746.96,backwardStepRe
2.925307,355.25,narrowEndBendRe
1.105889,1038.46,bendRe
12.24814,1089.06,channelStripRe
1.93247,911.94,forwardStepRe
6.008183,1696.35,rightStripBendRe
0.2532095,1924.09,backwardStepRe
2.540221,1848.18,narrowEndBendRe
0.5549694,734.81,backwardStepRe
3.011109,304.65,narrowEndBendRe
0.2957823,1620.44,backwardStepRe
2.615046,734.81,narrowEndBendRe
7.886195,380.56,leftStripBendRe
0.3032463,1367.41,channelRe
1.822159,1215.58,forwardStepRe
3.212778,102.22,backwardStepRe
2.522558,2000.00,narrowEndBendRe
6.934697,51.61,forwardStepRe
3.980993,102.22,narrowEndBendRe
34.22375,1468.62,channelStripRe
7.794734,1038.46,rightStripBendRe
3.216752,1848.18,rightStripBendRe
1672.686,1924.09,leftStripBendRe
9.576454,228.73,leftStripBendRe
12.02822,658.90,channelStripRe
9.314595,582.99,leftStripBendRe
0.3641687,1240.89,backwardStepRe
12.86402,1316.80,channelStripRe
0.2571236,1848.18,channelRe
58.46458,1822.87,channelStripRe
0.5895489,431.16,channelRe
0.2515471,1924.09,channelRe
1.921032,937.24,forwardStepRe
5.103575,26.30,channelRe
4.19623,557.68,rightStripBendRe
30.43602,1392.71,channelStripRe
0.3584126,1013.15,channelRe
0.6994981,557.68,backwardStepRe
1.971135,836.03,forwardStepRe
1.028585,152.82,bendRe
3.124266,254.04,narrowEndBendRe
7.941415,355.25,leftStripBendRe
2.431103,1671.05,narrowEndBendRe
2.422519,1772.27,narrowEndBendRe
2.603639,760.11,narrowEndBendRe
0.4653637,911.94,backwardStepRe
9.167627,1266.19,leftStripBendRe
316.4978,1.00,backwardStepRe
1.810795,1291.49,forwardStepRe
6079434000.0,2000.00,leftStripBendRe
6.805492,1569.84,leftStripBendRe
2.446349,1291.49,narrowEndBendRe
2.55451,886.63,narrowEndBendRe
11.66554,329.95,channelStripRe
